"lnm_rate","treated","state","year"
-11.6187829971313,1,1,1927
-7.04901456832886,0,1,1927
-12.2009181976318,1,1,1928
-7.01138591766357,0,1,1928
-11.166407585144,1,1,1929
-7.05952930450439,0,1,1929
-11.2051343917847,1,1,1930
-7.0597972869873,0,1,1930
-11.3944873809814,1,1,1931
-7.04334926605225,0,1,1931
-11.2473182678223,1,1,1932
-7.14302349090576,0,1,1932
-11.7650775909424,1,1,1933
-7.24070405960083,0,1,1933
-11.9261140823364,1,1,1934
-7.33888101577759,0,1,1934
-12.1152744293213,1,1,1935
-7.36513805389404,0,1,1935
-12.1910591125488,1,1,1936
-7.31259536743164,0,1,1936
-12.3519563674927,1,2,1937
-7.35361814498901,0,2,1937
-12.010350227356,1,2,1938
-7.45771265029907,0,2,1938
-12.211163520813,1,2,1939
-7.50744152069092,0,2,1939
-12.2918834686279,1,2,1940
-7.54762077331543,0,2,1940
-12.3799695968628,1,2,1941
-7.55365800857544,0,2,1941
-13.4865608215332,1,2,1942
-7.72529602050781,0,2,1942
-13.7821588516235,1,2,1943
-7.7175989151001,0,2,1943
-10.584077835083,1,3,1926
-5.59910202026367,0,3,1926
-10.9661016464233,1,3,1927
-5.60480976104736,0,3,1927
-10.7395095825195,1,3,1928
-5.6082968711853,0,3,1928
-11.1691007614136,1,3,1929
-5.6064977645874,0,3,1929
-11.0385074615479,1,3,1930
-5.71132516860962,0,3,1930
-11.9003210067749,1,3,1931
-5.83653593063354,0,3,1931
-10.710657119751,1,3,1932
-5.93658828735352,0,3,1932
-10.4623994827271,1,3,1933
-6.01523303985596,0,3,1933
-10.5563516616821,1,3,1934
-6.07996273040771,0,3,1934
-10.3469276428223,1,3,1935
-6.08143520355225,0,3,1935
-10.765926361084,1,3,1936
-6.05190229415894,0,3,1936
-11.4724273681641,1,4,1937
-6.10178899765015,0,4,1937
-13.0950422286987,1,4,1938
-6.23019409179688,0,4,1938
-11.1621370315552,1,4,1939
-6.31458139419556,0,4,1939
-12.022274017334,1,4,1940
-6.37329959869385,0,4,1940
-6.66701889038086,0,4,1941
-12.5233020782471,1,4,1942
-6.70470380783081,0,4,1942
-13.2610111236572,1,4,1943
-6.72431945800781,0,4,1943
-11.5832185745239,1,5,1927
-7.1186637878418,0,5,1927
-11.8570747375488,1,5,1928
-7.09030914306641,0,5,1928
-11.2087097167969,1,5,1929
-7.12643766403198,0,5,1929
-11.4373836517334,1,5,1930
-7.20255279541016,0,5,1930
-10.9417133331299,1,5,1931
-7.21931076049805,0,5,1931
-11.3522567749023,1,5,1932
-7.36918210983276,0,5,1932
-12.1457672119141,1,5,1933
-7.4729380607605,0,5,1933
-12.1507949829102,1,5,1934
-7.48829936981201,0,5,1934
-11.8193244934082,1,5,1935
-7.61356687545776,0,5,1935
-11.6907711029053,1,5,1936
-7.4422755241394,0,5,1936
-12.8588743209839,1,6,1937
-7.49009847640991,0,6,1937
-12.5273303985596,1,6,1938
-7.56248998641968,0,6,1938
-13.091851234436,1,6,1939
-7.58044004440308,0,6,1939
-13.0967311859131,1,6,1940
-7.5964937210083,0,6,1940
-13.3823652267456,1,6,1941
-7.58630800247192,0,6,1941
-14.4789257049561,1,6,1942
-7.54940938949585,0,6,1942
-13.7837228775024,1,6,1943
-7.63418674468994,0,6,1943
