"id","gender","grade","important","better","preferredhand","siblings","youngestchild","oftenexpelled","correct","treatment"
105,1,3,"school","","Right",1,0,0,1,"Fruit"
106,0,6,"school","Language","Right",1,1,0,1,"Fruit"
107,0,3,"school","Math","Right",1,0,NA,1,"Fruit"
108,0,2,"school","Math","Right",1,0,0,0,"Fruit"
109,0,5,"school","Math","Right",1,0,0,0,"Fruit"
110,1,5,"school","Language","Right",1,1,0,0,"Nothing"
111,0,2,"school","Math","Right",1,1,0,1,"Nothing"
112,0,1,"school","Language","Right",1,1,0,0,"Nothing"
113,0,1,"school","Language","Right",1,0,0,0,"Nothing"
114,0,3,"school","Math","Right",1,0,1,1,"Nothing"
115,0,3,"school","Math","Left",1,0,0,1,"Nothing"
116,0,2,"sport","Language","Right",1,0,1,0,"Nothing"
117,0,2,"school","Math","Right",1,0,0,1,"Nothing"
118,1,1,"school","Language","Right",1,0,0,1,"Nothing"
119,0,3,"school","Math","Left",1,0,0,1,"Nothing"
120,0,5,"school","Language","Right",1,0,0,0,"Nothing"
121,1,1,"school","Math","Right",0,1,0,0,"Nothing"
122,0,2,"sport","Math","Right",1,0,0,1,"Nothing"
123,0,2,"school","Math","Left",1,0,0,0,"Nothing"
124,0,2,"school","Math","Right",1,1,0,0,"Nothing"
125,0,2,"school","Math","Right",1,1,0,1,"Nothing"
126,0,2,"school","Language","Right",1,0,0,0,"Nothing"
127,1,2,"sport","Math","Right",1,1,0,1,"Nothing"
128,1,2,"school","Language","Right",1,1,0,0,"Nothing"
129,1,2,"school","Language","Right",1,0,0,0,"Nothing"
130,0,3,"school","Math","Left",1,1,0,0,"Nothing"
131,0,3,"sport","Math","Left",1,0,0,0,"Nothing"
132,1,3,"school","Math","Right",1,0,0,0,"Nothing"
133,1,3,"school","Math","Right",1,0,0,0,"Nothing"
134,1,3,"school","Math","Right",1,0,0,1,"Nothing"
135,1,3,"school","Language","Right",1,0,0,0,"Nothing"
136,1,3,"school","Math","Right",1,0,0,0,"Nothing"
137,1,3,"school","Math","Right",1,0,0,0,"Nothing"
138,0,4,"school","Math","Right",1,0,0,1,"Nothing"
139,0,4,"sport","Language","Right",1,1,0,1,"Nothing"
140,1,4,"school","Math","Left",1,0,1,0,"Nothing"
141,1,4,"school","Math","Right",1,0,0,1,"Nothing"
142,1,5,"school","Math","Right",1,0,0,0,"Nothing"
143,1,5,"school","Language","Right",1,0,0,0,"Nothing"
144,1,5,"school","Math","Right",1,0,0,0,"Nothing"
145,1,5,"school","Language","Right",1,0,0,0,"Nothing"
146,0,6,"school","Language","Left",1,0,0,0,"Nothing"
147,0,1,"school","Language","Right",1,1,0,1,"Fruit"
148,1,2,"sport","Language","Right",1,0,0,0,"Fruit"
149,1,2,"school","Math","Right",1,0,0,0,"Fruit"
150,0,2,"sport","Math","Right",1,0,1,0,"Fruit"
151,0,2,"school","Math","Right",1,0,0,0,"Fruit"
152,0,2,"school","Math","Right",1,1,0,0,"Fruit"
153,0,2,"school","Language","Right",1,1,0,1,"Fruit"
154,0,2,"school","Language","Left",1,1,NA,0,"Fruit"
155,0,3,"school","Math","Right",1,0,0,0,"Fruit"
156,0,3,"school","Math","Right",1,1,0,1,"Fruit"
157,0,4,"school","Math","Right",1,0,0,0,"Fruit"
158,0,4,"school","Math","Right",1,0,0,0,"Fruit"
159,0,4,"school","Math","Right",1,1,0,1,"Fruit"
160,0,4,"sport","Language","Right",1,1,0,0,"Fruit"
161,0,4,"school","Language","Left",1,0,0,0,"Fruit"
162,0,4,"sport","Math","Right",1,0,0,0,"Fruit"
163,0,4,"school","Language","Right",1,0,1,0,"Fruit"
164,0,4,"school","Math","Right",1,1,0,0,"Fruit"
165,0,4,"school","Language","Left",1,1,1,0,"Fruit"
166,0,4,"school","Math","Right",1,1,0,0,"Fruit"
167,1,4,"sport","Language","Right",1,0,0,0,"Fruit"
168,1,4,"school","Math","Right",1,0,0,0,"Fruit"
169,1,4,"school","Math","Right",1,1,0,1,"Fruit"
170,0,5,"school","Language","Right",0,1,0,0,"Fruit"
171,0,5,"sport","Math","Right",1,0,0,0,"Fruit"
172,0,5,"sport","Math","Left",1,0,1,0,"Fruit"
173,0,5,"school","Math","Left",1,0,0,0,"Fruit"
174,0,5,"school","Language","Right",1,0,0,1,"Fruit"
175,1,5,"school","Language","Right",1,0,0,1,"Fruit"
176,1,6,"school","Language","Right",1,1,0,0,"Fruit"
177,0,2,"school","Language","Right",1,0,0,1,"Candybar"
178,0,2,"school","Math","Right",1,0,0,1,"Candybar"
179,0,4,"school","Language","Left",1,0,0,0,"Candybar"
180,0,4,"school","Math","Right",1,0,1,1,"Candybar"
181,0,4,"school","Math","Right",1,0,0,0,"Candybar"
182,0,5,"school","Language","Right",1,1,0,1,"Candybar"
183,0,5,"school","Language","Right",1,1,0,1,"Candybar"
184,0,5,"sport","Math","Right",1,1,0,0,"Candybar"
